Component 1,Component 2,Component 3,country
-7.241847,7.9352965,-0.14342901,India
-10.220858,-1.2760214,1.3489336,Indonesia
-2.4736772,-9.329048,2.5359468,Iran
-6.899523,-7.20797,2.3918884,Iraq
13.9043665,-1.9832151,-1.8604958,Ireland
8.81135,-5.9288445,-2.2576146,Israel
10.4779215,-4.835532,-2.2720268,Italy
-9.493511,-2.2216141,-0.92770624,Jamaica
12.118239,-3.7923925,-3.1102917,Japan
-9.478437,-3.6688564,1.3121718,Jordan
1.7497896,-9.270723,1.4641367,Kazakhstan
-2.290503,11.289471,1.12798,Kenya
0.27641067,10.874535,-0.85153157,Kiribati
14.999932,-2.0626824,0.8031588,Kuwait
-3.1476588,11.189623,1.5187926,Kyrgyz Republic
-6.5647774,8.574139,0.5321749,Lao
0.76488525,-8.970785,-0.18323644,Latvia
-2.1810014,-8.968715,0.9221805,Lebanon
-2.121458,10.929605,0.54936826,Lesotho
8.688964,14.336748,1.6839119,Liberia
5.6168714,-7.9787116,0.28439876,Libya
2.8608408,-8.771977,-0.02545236,Lithuania
16.816265,-1.9756049,-0.8527152,Luxembourg
-7.7524967,-6.206926,1.538801,"Macedonia, FYR"
4.6812267,13.872384,1.8280493,Madagascar
7.0787873,14.18118,1.3459021,Malawi
2.1475978,-9.234516,1.5051919,Malaysia
-6.6729136,-6.5967736,-0.63438046,Maldives
0.74140984,12.379279,1.0857859,Mali
6.846599,-7.185944,-1.331546,Malta
-5.028048,9.600695,0.67666036,Mauritania
-2.7586474,-8.948476,1.2548832,Mauritius
-3.51072,8.612127,-1.7474821,"Micronesia, Fed. Sts."
-6.050941,8.224935,-0.19801028,Moldova
-10.366729,-0.18488516,1.1438869,Mongolia
-4.884044,-8.194749,1.6306307,Montenegro
-10.196838,2.1608772,-0.19262688,Morocco
7.6691704,14.360074,1.529843,Mozambique
-6.1529737,9.021181,0.75431895,Myanmar
-9.292401,-2.844038,-0.8601563,Namibia
0.21601118,12.585393,1.6095977,Nepal
14.176392,-1.7795197,-2.103043,Netherlands
9.694283,-5.362942,-2.2818918,New Zealand
8.159309,14.816328,1.4416033,Niger
-9.578928,4.849721,-0.5598868,Nigeria
16.623747,-1.9508532,-1.7179879,Norway
8.263444,-7.0022235,1.1892622,Oman
-7.185881,8.263664,0.6676219,Pakistan
-3.099757,-8.772792,0.9967979,Panama
-10.240965,0.19230108,0.045792863,Paraguay
-8.4760065,-4.9859457,0.14766811,Peru
-9.391602,4.5189013,-0.16861525,Philippines
3.3709044,-8.618838,-0.22108868,Poland
7.034255,-7.006417,-1.7715474,Portugal
16.623045,-2.002782,-0.092696115,Qatar
-1.5717801,-9.263907,1.7189591,Romania
3.5268397,-8.817038,0.82648796,Russia
4.819886,13.471081,0.9362983,Rwanda
-10.840467,3.856018,-1.646461,Samoa
8.265322,-7.001643,1.1909202,Saudi Arabia
-1.1216125,11.467425,0.73552793,Senegal
-6.390026,-7.4652295,2.0161898,Serbia
2.1560302,-9.037472,0.61908615,Seychelles
5.9276557,14.07768,1.6448511,Sierra Leone
15.040749,-2.0540838,0.71700644,Singapore
5.1308,-7.9099474,-0.78995556,Slovak Republic
7.414524,-6.8508997,-1.5700121,Slovenia
0.2749994,10.91524,-0.7927731,Solomon Islands
-5.768317,-7.308235,-0.10827574,South Africa
7.307615,-7.0161433,-1.0244285,South Korea
9.24664,-5.701227,-2.0469909,Spain
-10.223241,-1.3517737,1.4967564,Sri Lanka
-7.3312445,-6.041951,-0.604246,St. Vincent and the Grenadines
-4.9489665,9.306949,0.25578314,Sudan
-3.816742,-8.342142,0.49649626,Suriname
14.337517,-1.9238257,-2.7453933,Sweden
16.488031,-1.943546,-1.9402002,Switzerland
-0.46805382,12.151333,1.3420103,Tajikistan
-0.3045762,12.2675705,1.419887,Tanzania
-6.223031,-7.663696,2.411515,Thailand
-2.8739388,8.778444,-1.9607983,Timor-Leste
5.898287,13.851681,1.2636495,Togo
-10.8513155,4.270835,-1.8322706,Tonga
-8.777642,-4.9488726,1.3910241,Tunisia
0.470921,-9.063034,0.13617872,Turkey
-8.758215,-4.553435,0.82509375,Turkmenistan
3.2760446,13.055417,1.0253768,Uganda
-10.299871,-0.49645218,0.90582925,Ukraine
14.052544,-1.9802318,-0.07912952,United Arab Emirates
11.073278,-4.4017167,-2.4049528,United Kingdom
14.0821705,-1.8837539,-1.1907272,United States
0.11549287,-8.805834,-0.70952326,Uruguay
-6.6789494,7.849729,0.07899641,Uzbekistan
-3.3732846,8.649849,-1.7913052,Vanuatu
-0.04380497,-8.612174,-1.4270487,Venezuela
-7.191304,7.45567,0.35022283,Vietnam
-7.480969,7.763534,0.19545253,Yemen
-4.7513394,9.475461,0.3176224,Zambia
